title,description,imUrl,price,brand,categories__1,categories__2,categories__3,categories__4,categories__5,categories__6
Panasonic SC-AK29 Compact Stereo System (Discontinued by Manufacturer),"Equipped with a five-CD changer, Panasonic's SC-AK29 compact stereo lets you enjoy hours of your favorite music. The five direct-open/play keys make playing and changing discs easy: simply press the open key for the desired disc and the tray opens. After changing the disc, press the adjacent disc key. The tray closes and the newly loaded disc starts to play.Outfitted with dual feather-touch cassette decks and an AM/FM digitally synthesized tuner, other SC-AK29 features include the CD Manager, which simplifies CD-to-tape editing, and Tape Program Search for quick tape access. The 3-D space equalizer displays a wide range of designs and patterns. A ship flies in space, enters black holes--even time warps--as your selections play. And six preset equalization modes (disco, hall, live, heavy, clear, and soft) are always but a touch away.Standard features include a wireless remote control, a superwoofer control (off, mid, and maximum); a programmable timer with play, record, and sleep modes; 24 tuner presets; and a fluorescent display.",http://ecx.images-amazon.com/images/I/41QGRQSQV0L._SX300_.jpg,134.5,,Electronics,Home Audio,Compact Stereos,,,
JVC MXJ200 Compact Stereo System (Discontinued by Manufacturer),"JVC's MX-J200 compact stereo may be small, but it packs a wallop. It offers a three-CD changer, a dual-well cassette deck (one of which is auto reverse), and an AM/FM tuner. The MX-J200's big sound and diminutive size make it ideal for the office, kitchen, or dormitory.The MX-J200 gets its big sound from its 60-watt-per-channel amplifier, a one-bit digital-to-analog converter, and an equalization mode called Active Bass Extension, which generates extra harmonics for bass frequencies too low for the system to reproduce in order to fool your ears into thinking you're hearing lower bass. This is a great stereo to make tapes with too. Thanks to CD synchro recording and play exchange, you can listen to one CD while changing another. The MX-J200 can handle up to 32 tracks of CD programming.Included in the package are a full-function remote control, an auxiliary input, and the handy Compu Play feature, which automatically plays the last CD or tape you were listening to before the MX-J200 was last turned off.",http://ecx.images-amazon.com/images/I/41W6F65VS0L._SX300_.jpg,134.5,,Electronics,Home Audio,Compact Stereos,,,
Sennheiser  RS4-9 On-Ear Wireless Headphone,"Sennheiser's RS4-9 wireless headphones consist of the HDR-4 stereo headphone with integral radio-frequency receiver and the T4 radio-frequency transmitter that can be connected to any sound source. The headphones can receive the signal via radio waves within a range of up to 100 meters--even through floors, walls, and ceilings. A choice of three transmission frequencies ensures clear reception, and a filter blocks out interference from amateur radio transmissions.With the RS4-9 wireless headphones you can roam your house or work out to your favorite tunes without tangling cords or losing reception. The headphones are lightweight and adjustable, and a volume knob on the headset gives you complete control.The T4 transmitter features an automatic on/off function and operates on AC or DC current or on a single BA151 NiMH battery. The headphones will run for 3.5 hours on battery power, and the Accupack has two rechargeable-battery compartments.A two-year warranty is provided.",http://g-ecx.images-amazon.com/images/G/01/x-site/icons/no-img-sm._CB192198896_.gif,134.5,,Electronics,Accessories & Supplies,Audio & Video Accessories,Headphones,,
Pioneer VSX-D309 Audio/Video Receiver (Discontinued by Manufacturer),"With built-in Dolby Digital, DTS, and Dolby Pro Logic decoding, Pioneer's VSX-D309 surround receiver lets you take full advantage of today's 5.1-channel movies and music. Dialogue and sound effects come through with great clarity and spaciousness for an excellent home theater experience.The VSXD309 provides an ample 60 watts of amplifier power to each of its five channels (left/right front, center, and left/right rear). It also offers a subwoofer output for incorporating the "".1"" low-frequency effects (LFE) channel encoded on most DVDs and on DTS-mastered surround sound compact discs.Complete 5.1-channel analog inputs bring welcome flexibility, letting you use the VSX-D309 with a surround-decoding DVD player or a future six-channel surround format.Ten digital signal processing (DSP) environments transport you to your venue of choice--including hall, jazz club, and stadium--for a customized sonic experience.The midnight mode compresses dynamic range while slightly increasing the clarity of dialogue for late-night viewing sessions. Midnight mode also dims the VSX-D309's front-panel display.The VSX-D309 has plenty of standard features as well. Three audio-video inputs accommodate a DVD player, a VCR, and another component, such as a second VCR. Nestled around back are a subwoofer output and two digital audio inputs, one coaxial and one optical. The Pioneer VSX-D309 comes with a remote control and a one-year warranty on parts and labor.",http://ecx.images-amazon.com/images/I/41JTX2480GL._SX300_.jpg,134.5,,Electronics,Home Audio,Stereo Components,Receivers & Amplifiers,Component Receivers,
Pioneer VSX-108 Audio/Video Receiver (Discontinued by Manufacturer),"With 50 watts per channel and surround conveniences such as four-channel Dolby Pro Logic decoding and a dedicated subwoofer output, Pioneer's VSX-108 is an unbelievable home theater value. The receiver would also make a terrific integrated stereo amp even if you have no interest whatsoever in home theater; its subwoofer output is a boon either way.If you do opt for the home theater route, be aware that the VSX-108 is not compatible with 5.1-channel DVD surround sound (either Dolby Digital or DTS), but at this price it's hard to complain--there are easily enough four-channel Dolby Pro Logic-encoded VHS tapes and television broadcasts out there to keep you going until you're ready for an upgrade.The VSX-108 offers three audio inputs, two simulated-surround programs, 30 AM/FM presets for its onboard tuner, separate bass and treble controls, a loudness switch (to boost the extreme high and low frequencies when you're listening at low levels), and a preprogrammed audio-video remote control.",http://ecx.images-amazon.com/images/I/41AJK34PHZL._SX300_.jpg,134.5,,Electronics,Home Audio,Stereo Components,Receivers & Amplifiers,Component Receivers,
Panasonic SC-AK18 CD Compact Stereo System (Discontinued by Manufacturer),"Equipped with a five-CD changer, Panasonic's SC-AK18 compact stereo lets you enjoy hours of continuous music. The five direct open/play keys make playing and changing discs easy. Simply press the open key for the desired disc and the tray opens. After changing the disc, press the adjacent disc key. The tray closes, and the newly loaded disc starts to play.Outfitted with dual feather-touch cassette decks and an AM/FM digitally synthesized tuner, the SC-AK18 has all the conveniences of a full-size stereo system. Two other features are the CD manager, which simplifies CD-to-tape editing, and tape program search for quick tape-track access.The 3D space equalizer displays a wide range of images and patterns. A ship flies in space, enters black holes--even time warps--as your selections play. And six preset equalization modes (disco, hall, live, heavy, clear, and soft) are a touch away.The AK-18 standard features include a wireless remote control, a programmable timer with sleep mode, 24 tuner presets, and a fluorescent display.",http://ecx.images-amazon.com/images/I/41E7DVXM2WL._SX300_.jpg,239.95,,Electronics,Home Audio,Compact Stereos,,,
Sennheiser HD490 Full Size Duofol Headphone (Discontinued by Manufacturer),"Sennheiser's HD490 Live is a full-size headphone system that can be connected to both home and personal stereos. Audiophile-grade components are used throughout for maximum performance, while a frequency response of 18 to 22,000 Hz delivers maximum bass response and explosive dynamics.A 10-foot OFC (oxygen-free copper) cord is attached to the left earpiece only, which gives you enough room to move around and reduces tangling. The 0.25-inch plug comes with a miniplug adapter, which lets you plug the HD490 into a smaller headphone jack. An airy, plastic cushion on the underside of the headphone strap adds comfort, as do the padded, adjustable teardrop-shaped earpieces.The Sennheiser HD490 Live has a two-year warranty.",http://ecx.images-amazon.com/images/I/41C7W2JN5NL._SY300_.jpg,24.89,,Electronics,Accessories & Supplies,Audio & Video Accessories,Headphones,,
Pioneer VSX-D509S Dolby Digital Audio/Video Receiver (Discontinued by Manufacturer),"With both Dolby Digital and DTS surround decoding, S-video switching, 5.1-channel analog inputs, four digital-audio inputs, and the ability to deliver 100 watts across all five main channels, Pioneer's VSX-D509S is poised to satisfy many a movie and music fan. Its value goes deeper than its feature set, however: the VSX-D509S offers full-bodied sound with fine detail and texture. Vocals sound clear and well-defined, while the bass--crucial for dynamic surround-sound reproduction--is taut and authoritative. Operation is a breeze: the receiver's setup and controls work perfectly, and radio signals come in clear as crystal.Pioneer's four Advanced Theater modes (Musical, Drama, Action, and Expanded) enhance DTS and Dolby Digital playback, giving you plenty of options when it comes to surround-sound playback. Six stereo DSP (digital signal processing) modes for music simulate the sonic environment of a large wooden concert hall, a modern hall with stone walls, a jazz club, a dance club, and two different movie theaters.We like that the VSX-509S has S-video switching, a coaxial digital input, and 5.1-channel direct inputs, all of which are aimed at superior audio-video performance.Radio signals come in clear as a bell. Dolby digital and DTS surround processing are both excellent, and we even found the relatively subtle DSP modes to be more to our liking than usual.While we're pleased that Pioneer uses five-way binding posts for the front three channels, the surround channels use cheaper spring-loaded terminals, which require bare-wire connections--something to consider if you currently have banana-terminated speaker cable. This isn't a major shortcoming--most receivers use them--but we wish manufacturers would use identical connectors for all channels, especially in a performance-driven machine like this one.Pioneer's VSX-D509S's strengths are many, and the receiver represents a very fine value.--Wayne GarciaPros:Clean, rich soundDTS decodingS-video switching5.1-channel direct inputsCons:Spring-loaded push terminals for surround channels",http://ecx.images-amazon.com/images/I/41SNHTBRXYL._SX300_.jpg,4.45,,Electronics,Home Audio,Stereo Components,Receivers & Amplifiers,Component Receivers,
Pioneer VSX-D409 Audio/Video Receiver (Discontinued by Manufacturer),"The VSX-409 surround receiver holds a place in a stellar receiver lineup from Pioneer. Its features include Dolby Digital, Dolby Pro Logic, and DTS surround decoding, future-ready 5.1-channel analog inputs, three digital audio inputs (including one coaxial), and delivery of 100 watts across all five amplified channels.Like other Pioneer receivers we've auditioned, the VSX-409's sound is very fine--rich, airy, and involving. What's more, the VSX-409 is a snap to operate.Even first-time users should have no trouble, thanks to the first-rate owner's manual.Pioneer's four Advanced Theater modes (Musical, Drama, Action, Expanded) enhance both Dolby Digital and DTS playback, while six music-oriented stereo DSP (digital signal processing) modes simulate the sonic environment of a large wooden concert hall, a modern hall with stone walls, a jazz club, a dance club, and two different movie theaters.The VSX-409 produced good detail and texture with our favorite CDs and DVDs, and its 100-watt amplifier showed no signs of stress or strain, consistently delivering tight, powerful bass. Vocals sounded natural and articulate--a must for quality home theater.Pioneer's Dolby Digital and DTS surround processing are both excellent, and the DSP modes, essentially alternate surround-sound algorithms, actually work without sounding gimmicky.Now for a couple gripes: though we loved the VSX-409's coaxial digital-audio capability, multiple digital-audio inputs, and 5.1-channel analog inputs, we wish the VSX-409 accommodated S-video, which is clearly superior to composite video. (Of course, while S-video is found on all DVD players and some VCRs, not everyone has an S-video-compatible television.)Another drawback is the push (clip-type) speaker terminals, which demand bare-wire connections. Bare wire offers certain advantages over banana-plug terminations, namely a more direct connection, but banana-friendly five-way binding posts are both higher quality and more convenient for hookup than push terminals.If you can live without S-video and aren't already invested in binding-post speaker terminals, Pioneer's VSX-409 packs a lot of performance into a moderately priced, high-value design.--Wayne GarciaPros:Clear, robust soundDTS decoding5.1-channel direct inputs2 sets of front left/right speaker outputsMultiple digital inputsCons:No S-video switchingClip-type terminals for all channels",http://ecx.images-amazon.com/images/I/41DFZ4WH1JL._SX300_.jpg,134.5,,Electronics,Home Audio,Stereo Components,Receivers & Amplifiers,Component Receivers,
JVC MX-J500 Compact Stereo System (Discontinued by Manufacturer),"JVC's MX-J500 mini system takes up little space and sounds great, making it ideal for use in an office, kitchen, or dormitory. The MX-J500 incorporates a 3-CD changer with a one-bit digital-to-analog converter, dual cassette decks (each with full-logic controls, auto reverse, and music scan), an AM/FM tuner, preset equalization curves, and a powerful 120-watt-per-channel amplifier with JVC's Active Bass Extension.This is a great system to make tapes with too. Thanks to its tape editing functions, CD synchro-start recording, and the play exchange feature, you can switch two discs out while recording a third. The MX-J500 can handle 32 tracks of programming.Hit ""demo mode"" to get a complete tour of the MX-J500's sonic options. Included in the package are a full-function remote control, an auxiliary input, and the handy Compu Play feature, which automatically starts playing the CD or tape you were listening to before the MX-J500 was last turned off. Finally, a four-color fluorescent display makes every function a snap.",http://ecx.images-amazon.com/images/I/41PP8HYAV0L._SX300_.jpg,134.5,,Electronics,Home Audio,Compact Stereos,,,
