title,description,imUrl,price,brand,categories__1,categories__2,categories__3,categories__4,categories__5,categories__6
CLIKR-5 Time Warner Cable Remote Control UR5U-8780L,"The CLIKR-5 UR5U-8780L remote control is designed to operate the CISCO/SA, Pioneer, Pace Micro, Samsung and Motorola digital set tops.  Plus the majority of TV, VCR, DVD and AUX equipment on the market as follows: Cable Set-top Boxes, VCRs and TV/VCRs, Televisions, DVD Players, Audio Equipment, Media PC, etc.


Contact Information
for MSO's
Let's discuss your needs in detail.
 
Time Warner Cable CLIKR-5 

Interactive Tutorial - English and Spanish 

Programming Instructions and Codes - English 

The Time Warner Cable CLIKR-5 is designed to offer complete control for all digital, HD and DVR set-top boxes. The UR5U-8780L is factory programmed to operate Scientific Atlanta/Cisco and Samsung set-top boxes while the UR5U-8790L is factory programmed for Motorola set-top boxes. In addition to the set-top box the CLIKR-5 can also control TV's, VCR's, DVD players and Auxiliary equipment such as audio receivers and home theater systems. The Time Warner Cable CLIKR-5 features a fully backlit keypad and upgradeability. 

Features and Benefits: 

	-Tru2way / OCAP compliant
	-Control up to 5 devices
	-64-K chip pre-loaded with the  largest code library in the industry
	Three factory-programmed macro keys (Dedicated ON DEMAND button, M1, M2)
	Customizable System Power button
	Illuminated mode buttons
	Full keypad backlighting featuring exclusive 'night vision' red illumination
	'Sure Touch' cursor navigation pad
	The industry's simplest & quickest device code programming
	Quick programming instructions on back case
	Memory Lock retains programmed memory for 10 years even with Batteries removed
	Interactive, bi-lingual CD Tutorials for CSR, Tech & Installer training & reference
	Barcode label in battery compartment with easily identifiable manufacturer date code

Specifications 

  Size: 2.875""(W) x 8.5""(L) x 1.125""(D) 
  Weight: 4.1 oz 
  Power Supply: 2 x AA Batteries",http://ecx.images-amazon.com/images/I/41HaAhbvLyL._SY300_.jpg,23.36,,Electronics,Accessories & Supplies,Audio & Video Accessories,Remote Controls,TV Remote Controls,
Polaroid Pbm2200 PC / Gaming Stereo Headphones With Microphone &amp; In-line Volume,Use these high quality headphones for internet chatting and enjoy the comfort and ease of the headphones with the microphone and in-line volume control. Works with: Skype msn AIM YAHOO! Windows Live,http://ecx.images-amazon.com/images/I/21rEirndRLL.jpg,13.95,,Electronics,Accessories & Supplies,Audio & Video Accessories,Headphones,,
Barnes &amp; Noble NOOK Power Kit in Carbon BNADPN31,"The Barnes &amp;amp; Noble BNADPN31 Power Kit in Carbon for Nook 1st Edition and Nook Simple Touch e-Reader possesses a compact design, with a 2.5-inch x 4-inch x .60-inch frame so that you can bring this product anywhere. Providing a &amp;nbsp;5-feet micro USB charging cable, the charger offers connection with either a computer or an AC adapter. You can charge your NOOK Wi-Fi, 3G +Wi-Fi, and Simple Touch devices by using the charger in any wall outlet.",http://ecx.images-amazon.com/images/I/41kQsHT8UtL._SY300_.jpg,32.1,Barnes &amp; Noble,Electronics,eBook Readers & Accessories,Power Adapters,,,
Jonathan Adler Punctuation Cover in Black,"NOOK cover, designed by Jonathon Adler.
Fits the NOOK Simple Touch and Simple Touch with GlowLight.",http://ecx.images-amazon.com/images/I/41CqeMM0mTL._SY300_.jpg,78.83,,Electronics,eBook Readers & Accessories,Skins,,,
Barnes &amp; Noble 7 & quot; Lautner Chocolate NOOK Case,"Keep your tablet safe with this Barnes &amp; Noble NOOK & #153; Case._x000D_ _x000D_ The Barnes &amp; Noble NOOK & #153; Case comes in a stylish chocolate design that is sure to get noticed. It has soft suede materials inside to ensure that your NOOK & #153; is protected from scratches. This case also comes with a 3-point Clip Holder, making your tablet easy to place and secure. Buy the Barnes &amp; Noble NOOK & #153; Case right now!",http://ecx.images-amazon.com/images/I/31KkpByX11L._SY300_.jpg,15.55,,Electronics,eBook Readers & Accessories,Covers,,,
Kate Spade Rain or Shine Magazine Cover for Nook Simple Touch,,http://g-ecx.images-amazon.com/images/G/01/x-site/icons/no-img-sm._CB192198896_.gif,,,Electronics,eBook Readers & Accessories,Covers,,,
Barnes &amp; Noble Jonathan Adler Book Reader Cover Hd - Elephant (9Bn50329)- Barnes And Noble,,http://ecx.images-amazon.com/images/I/51PnHXdXqZL._SY300_.jpg,15.99,,Electronics,eBook Readers & Accessories,Covers,,,
Hd Groovy Stand In Blue- Nook,Nook HD+ Barnes and Noble Groovy Stand BLUE for 9 INCH NOOK,http://g-ecx.images-amazon.com/images/G/01/x-site/icons/no-img-sm._CB192198896_.gif,12.95,,Electronics,eBook Readers & Accessories,Covers,,,
Nook Vara Stylus: Pink,,http://ecx.images-amazon.com/images/I/21YJXPCzBXL._SY300_.jpg,,,Electronics,Computers & Accessories,Touch Screen Tablet Accessories,Bundles,,
Groovy Protective Stand Cover: Custom Designed for 7-inch NOOK HD: Vine Color,"Slim, smart, and lightweight, this ingenious cover is the perfect choice for protecting your NOOK HD. The polyurethane exterior, accented by a subtle ""nook"" logo, is both strong and smooth to the touch; inside, a plastic shell in contrasting charcoal cradles your device while offering full access to the controls. But that's only part of the story. An articulation on the front cover allows you to fold it back and tuck the edge into the metallic clip on the back of the case. The result is a sturdy stand that gives you the option of using your NOOK hands-free in landscape orientation, in either video-viewing mode or typing mode. (The viewing mode offers a more vertical angle.) Proving that this is a smart cover in every sense, it also puts your NOOK HD into sleep mode when you close the front flap and wakes it up when the flap is opened. A laser-etched ""nook"" logo on the back-cover clip adds to the visual appeal of this superior product.",http://ecx.images-amazon.com/images/I/01eX9rjxUIL.jpg,11.5,Barnes &amp; Noble,Electronics,eBook Readers & Accessories,Covers,,,
